ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ts
61,30,45,80,154,41,27,46,1560803747.0678349
63,26,42,65,191,45,25,27,1560803747.091098
61,26,39,63,207,43,25,27,1560803747.1145132
58,26,34,64,222,44,24,28,1560803747.1278858
60,29,33,78,258,47,26,28,1560803747.151098
62,29,35,89,250,51,28,25,1560803747.1734269
55,29,35,93,229,52,28,25,1560803747.187718
51,28,33,96,229,61,28,26,1560803747.210737
46,28,34,97,225,65,30,26,1560803747.233565
54,27,37,78,168,69,29,25,1560803747.2478368
46,26,36,64,185,70,27,27,1560803747.278504
47,27,38,67,187,71,30,29,1560803747.293549
47,26,37,63,192,66,28,28,1560803747.307637
80,27,40,71,212,71,26,26,1560803747.331415
96,27,39,81,229,66,28,28,1560803747.3533778
95,26,38,82,211,69,35,27,1560803747.383566
95,29,43,88,228,97,41,26,1560803747.390947
102,28,46,90,221,99,44,26,1560803747.413153
95,29,49,92,212,93,45,31,1560803747.42786
81,29,48,86,197,93,45,29,1560803747.4523802
82,31,56,87,196,89,39,29,1560803747.480932
88,28,53,94,202,77,37,29,1560803747.487689
105,30,55,91,188,76,33,34,1560803747.510979
99,27,48,85,168,78,33,29,1560803747.5335538
108,26,49,97,199,94,35,29,1560803747.556119
107,27,43,98,204,98,38,29,1560803747.57149
109,28,41,81,167,96,39,29,1560803747.593586
103,28,37,88,208,102,47,24,1560803747.615926
108,28,44,91,206,103,54,28,1560803747.631216
95,29,51,88,183,124,66,27,1560803747.653665
107,28,52,85,185,144,66,27,1560803747.67644
101,31,56,90,208,138,63,27,1560803747.6908019
84,31,54,89,197,138,60,29,1560803747.713625
83,34,58,93,201,142,59,26,1560803747.727806
105,36,55,88,199,131,44,31,1560803747.750854
98,38,55,99,196,107,41,34,1560803747.773471
109,36,54,100,178,115,44,33,1560803747.795891
117,39,58,98,150,113,43,32,1560803747.8108811
110,36,53,91,143,121,37,32,1560803747.8338962
97,34,52,95,124,101,37,30,1560803747.847872
115,36,47,83,123,101,38,28,1560803747.870899
115,38,44,86,155,96,40,33,1560803747.893584
122,40,47,82,159,126,52,34,1560803747.907778
121,41,48,77,164,133,71,35,1560803747.9312
122,42,48,77,194,147,76,34,1560803747.953402
103,39,48,79,185,146,76,33,1560803747.9678562
100,39,53,75,155,144,78,29,1560803747.991066
81,34,48,77,146,120,69,27,1560803748.014273
85,35,48,83,135,111,50,26,1560803748.036005
87,34,51,79,120,99,41,25,1560803748.051016
91,33,51,76,134,108,45,24,1560803748.073398
109,30,51,92,146,108,42,25,1560803748.112412
116,31,51,105,157,136,70,28,1560803748.11425
111,29,48,104,157,132,72,27,1560803748.141526
119,29,45,98,139,150,74,28,1560803748.156096
148,29,45,105,145,162,74,30,1560803748.170967
133,30,48,112,150,169,72,31,1560803748.1936018
128,31,54,104,152,145,44,29,1560803748.216042
142,31,54,108,160,141,44,29,1560803748.231176
131,31,54,110,177,172,49,30,1560803748.2532039
114,35,61,108,168,163,48,35,1560803748.2761118
112,33,55,90,166,157,47,33,1560803748.291118
121,36,49,105,197,162,49,33,1560803748.313585
111,38,52,98,192,163,47,34,1560803748.335988
117,38,52,119,215,118,43,34,1560803748.351447
104,33,47,120,216,110,42,26,1560803748.381116
103,32,51,113,217,113,53,29,1560803748.396044
102,29,58,122,222,149,63,29,1560803748.41099
125,26,64,129,224,151,67,36,1560803748.433557
123,25,62,111,182,155,65,36,1560803748.456054
131,27,62,117,226,178,69,41,1560803748.4703481
145,29,63,128,224,179,63,40,1560803748.493424
139,30,58,117,254,159,54,39,1560803748.516044
120,30,52,114,255,169,58,33,1560803748.530341
132,32,56,115,259,174,66,41,1560803748.553805
117,33,54,124,268,177,63,38,1560803748.575997
112,33,54,121,261,184,68,37,1560803748.598424
131,30,52,106,224,173,73,39,1560803748.614603
127,29,54,109,240,161,75,39,1560803748.6360302
121,28,50,112,247,142,68,32,1560803748.6503289
140,31,60,114,247,120,69,36,1560803748.673403
135,34,60,116,262,101,61,38,1560803748.695955
127,38,60,116,239,125,55,38,1560803748.710323
143,39,56,108,219,139,44,41,1560803748.7345269
146,39,60,102,231,139,43,40,1560803748.7552788
132,34,51,84,167,130,43,36,1560803748.7778368
130,41,60,72,168,159,58,37,1560803748.794586
130,42,62,78,188,147,80,37,1560803748.8154972
120,41,61,77,194,135,86,32,1560803748.8396618
112,41,57,78,159,131,87,31,1560803748.854573
108,41,57,66,180,130,86,31,1560803748.87552
109,33,47,67,166,93,83,30,1560803748.897825
94,28,46,62,163,85,73,30,1560803748.9144971
95,30,47,63,154,77,65,31,1560803748.9429061
88,31,49,63,156,77,63,31,1560803748.959565
87,32,50,79,172,90,62,30,1560803748.974453
80,28,46,74,159,81,53,27,1560803748.99614
80,27,40,73,133,66,33,25,1560803749.017968
67,25,43,71,137,65,32,24,1560803749.034501
55,25,42,79,135,64,29,24,1560803749.062818
57,25,41,68,85,39,27,25,1560803749.077101
56,27,43,75,88,39,25,25,1560803749.0938199
54,29,44,77,131,46,27,23,1560803749.114919
44,28,42,89,141,47,27,23,1560803749.137869
44,27,41,89,149,50,28,24,1560803749.154643
49,30,40,88,157,55,29,24,1560803749.177073
43,29,34,82,159,51,31,22,1560803749.197798
45,26,39,82,152,47,30,22,1560803749.222084
47,27,37,70,140,49,31,23,1560803749.235232
57,28,36,63,145,48,32,22,1560803749.257853
45,24,35,61,150,47,30,23,1560803749.274339
44,24,41,57,155,47,30,24,1560803749.3030028
43,25,38,52,131,46,30,25,1560803749.317925
