ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1570816422.830842,1082,1274,996,879,909,1422,1482,976
1570816422.898443,1214,1266,1101,776,838,1353,1498,835
1570816422.899626,1091,1210,1101,833,947,1295,1454,683
1570816422.900857,1082,1086,1060,926,1052,1094,1322,338
1570816422.968441,1211,734,1133,1020,1051,854,1085,698
1570816422.9695392,1096,977,1089,1044,1057,847,1099,935
1570816422.970845,1047,1144,1019,940,910,816,1085,1064
1570816423.038433,914,1342,903,822,751,679,977,1096
1570816423.03962,649,1338,807,622,613,566,766,1327
1570816423.040884,313,1389,864,583,552,473,721,1221
1570816423.108342,205,1100,802,517,353,362,243,1012
1570816423.1095948,191,884,807,456,292,293,306,1004
1570816423.110899,172,966,766,404,296,265,302,689
1570816423.178457,160,844,627,407,245,218,289,603
1570816423.179549,121,865,560,380,235,166,294,568
1570816423.3184462,102,824,703,353,234,135,298,503
1570816423.3195689,80,801,682,363,203,104,192,385
1570816423.320883,73,812,647,286,201,113,183,365
1570816423.322402,67,626,319,248,150,116,147,232
1570816423.3881712,57,352,218,119,158,120,107,142
1570816423.389374,57,424,222,126,160,116,87,144
1570816423.390722,58,399,253,119,159,119,79,125
1570816423.458436,52,380,259,119,153,91,69,113
1570816423.4596019,49,384,331,127,151,81,77,112
1570816423.4608688,47,388,322,134,110,83,82,108
1570816423.528403,45,359,375,138,157,151,113,91
1570816423.5295699,52,397,427,141,155,156,121,95
1570816423.598916,55,415,389,134,163,215,117,90
1570816423.6002321,55,430,417,135,181,224,111,99
1570816423.6684391,52,461,453,157,168,195,87,110
1570816423.670196,57,613,584,261,161,178,110,228
1570816423.738398,121,883,790,668,160,227,157,442
1570816423.739594,147,1013,921,799,203,263,242,589
1570816423.740164,159,1112,1039,907,206,285,297,620
1570816423.809068,167,1209,1088,951,204,297,319,651
1570816423.810192,141,853,820,643,133,186,251,361
1570816423.811512,129,712,647,489,172,148,186,306
1570816423.878396,73,378,404,262,169,89,111,170
1570816423.8795722,67,325,322,225,155,76,101,143
1570816423.88088,57,268,298,178,152,73,91,108
1570816423.9484448,54,244,259,121,83,126,73,86
1570816423.9496028,57,230,243,104,78,134,71,69
1570816423.950834,56,242,219,88,79,146,76,74
1570816424.018431,61,244,188,74,82,149,106,84
1570816424.019658,74,299,160,69,80,107,146,94
1570816424.0208972,93,401,182,99,71,127,166,149
